Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .1041E-01 .2474E-08
.3510E+03 .1086E-01 .3001E-08
.3520E+03 .1018E-01 .3285E-08
.3530E+03 .1028E-01 .3883E-08
.3540E+03 .1199E-01 .5169E-08
.3550E+03 .1211E-01 .6055E-08
.3560E+03 .1099E-01 .6433E-08
.3570E+03 .9059E-02 .6020E-08
.3580E+03 .8538E-02 .6433E-08
.3590E+03 .9318E-02 .7931E-08
.3600E+03 .1185E-01 .1142E-07
.3610E+03 .1032E-01 .1145E-07
.3620E+03 .1061E-01 .1404E-07
.3630E+03 .1195E-01 .1866E-07
.3640E+03 .1204E-01 .2180E-07
.3650E+03 .1237E-01 .2555E-07
.3660E+03 .1458E-01 .3446E-07
.3670E+03 .1433E-01 .3846E-07
.3680E+03 .1322E-01 .3991E-07
.3690E+03 .1371E-01 .4716E-07
.3700E+03 .1492E-01 .5843E-07
.3710E+03 .1369E-01 .6079E-07
.3720E+03 .1330E-01 .6612E-07
.3730E+03 .1219E-01 .6844E-07
.3740E+03 .1095E-01 .6911E-07
.3750E+03 .1158E-01 .8197E-07
.3760E+03 .1325E-01 .1039E-06
.3770E+03 .1396E-01 .1217E-06
.3780E+03 .1676E-01 .1609E-06
.3790E+03 .1454E-01 .1529E-06
.3800E+03 .1368E-01 .1580E-06
.3810E+03 .1490E-01 .1940E-06
.3820E+03 .1143E-01 .1684E-06
.3830E+03 .8856E-02 .1470E-06
.3840E+03 .9906E-02 .1828E-06
.3850E+03 .1307E-01 .2678E-06
.3860E+03 .1204E-01 .2741E-06
.3870E+03 .1261E-01 .3177E-06
.3880E+03 .1229E-01 .3409E-06
.3890E+03 .1323E-01 .4045E-06
.3900E+03 .1536E-01 .5172E-06
.3910E+03 .1638E-01 .6064E-06
.3920E+03 .1528E-01 .6176E-06
.3930E+03 .9207E-02 .4101E-06
.3940E+03 .9498E-02 .4630E-06
.3950E+03 .1545E-01 .8227E-06
.3960E+03 .1445E-01 .8366E-06
.3970E+03 .8131E-02 .5168E-06
.3980E+03 .1624E-01 .1116E-05
.3990E+03 .2034E-01 .1531E-05
.4000E+03 .2116E-01 .1718E-05
.4010E+03 .2220E-01 .1945E-05
.4020E+03 .2305E-01 .2200E-05
.4030E+03 .2216E-01 .2301E-05
.4040E+03 .2249E-01 .2519E-05
.4050E+03 .2190E-01 .2643E-05
